blocked mm cycles/iteration (for varying matrix sizes)
  n  b    ijk    ikj
 50  50  2.39  1.16 
100  50  2.33  1.17 
150  50  2.33  1.17 
200  50  2.34  1.18 
250  50  2.36  1.18 
300  50  2.37  1.18 
350  50  2.38  1.19 
400  50  2.40  1.20 
450  50  2.42  1.22 
500  50  2.43  1.23 
550  50  2.44  1.24 
600  50  2.47  1.25 
650  50  2.48  1.26 
700  50  2.48  1.26 

blocked mm cycles/iteration (for varying block sizes)
  n  b    ijk    ikj
700  50  2.48  1.26 
700 100  2.81  1.23 
700 150  3.01  1.34 
700 200  3.12  1.37 
700 250  3.17  1.35 
700 300  3.13  1.35 
700 350  3.13  1.34 
700 400  3.18  1.35 
700 450  4.63  1.39 
700 500 10.13  1.42 
700 550 11.72  1.46 
700 600 13.36  1.54 
700 650 15.05  1.61 
700 700 16.78  1.64 
