n jki kji ijk jik kij ikj
50 3.47 3.47 2.47 2.55 1.29 1.23 
100 3.18 3.19 2.69 2.65 1.19 1.19 
150 3.16 3.14 2.89 2.90 1.31 1.37 
200 3.22 3.17 3.02 2.99 1.52 1.35 
250 4.68 4.69 3.05 3.04 1.49 1.33 
300 10.33 10.37 3.06 3.08 1.47 1.32 
350 15.57 15.52 3.08 3.12 1.47 1.31 
400 20.09 19.93 3.13 3.17 1.50 1.34 
450 27.66 27.49 5.49 5.39 1.53 1.42 
500 38.87 38.81 13.05 13.05 1.67 1.48 
550 41.25 41.21 14.19 14.13 1.71 1.51 
600 43.23 43.17 15.23 14.97 1.82 1.62 
650 44.76 44.77 16.16 15.73 1.91 1.61 
700 46.01 46.01 16.93 16.38 2.11 1.81 
